127.0.0.1 - - [13/Mar/2023:19:13:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:13:12 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:13:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:14:26 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:16:52 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:18:59 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:23:18 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:23:46 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:24:34 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:27:42 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:29:39 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:29:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:30:06 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:30:11 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:30:33 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:32:34 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:34:44 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:36:31 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:37:35 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:39:43 +0900] "GET /day04/inline-block.html HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:39:48 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:39:49 +0900] "GET /day04/inline-block.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:13 +0900] "GET /day04/img.html HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:13 +0900] "GET /day04/call.png HTTP/1.1" 200 4662
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:51 +0900] "GET /day04/img.html HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:49:51 +0900] "GET /day04/call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:50:31 +0900] "GET /day04/img.html HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:50:31 +0900] "GET /day04/youtube.png HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [13/Mar/2023:19:50:31 +0900] "GET /day04/call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:54 +0900] "GET /day04/img.html HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:54 +0900] "GET /day04/call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:54 +0900] "GET /day04/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:03:54 +0900] "GET /day04/instar.png HTTP/1.1" 200 7136
